n_samples,n_groups,max,distribution,simulation,distribution_truth,distribution_pred,varied,99_perc
400,20,0.08437499999999998,sparse,relative_difference_per_class,,,,0.06113249999999998
600,20,0.05924999999999997,sparse,relative_difference_per_class,,,,0.05225166666666657
800,20,0.0514375,sparse,relative_difference_per_class,,,,0.04462562500000002
1000,20,0.05470000000000008,sparse,relative_difference_per_class,,,,0.03971749999999994
20,30,0.34166666666666673,sparse,relative_difference_per_class,,,,0.2900166666666667
40,30,0.28,sparse,relative_difference_per_class,,,,0.2025
60,30,0.18888888888888888,sparse,relative_difference_per_class,,,,0.1572555555555555
80,30,0.16166666666666665,sparse,relative_difference_per_class,,,,0.13750416666666662
100,30,0.14833333333333337,sparse,relative_difference_per_class,,,,0.12267000000000003
120,30,0.14861111111111114,sparse,relative_difference_per_class,,,,0.11278055555555554
140,30,0.1407142857142857,sparse,relative_difference_per_class,,,,0.10835238095238094
160,30,0.12854166666666667,sparse,relative_difference_per_class,,,,0.10354375000000003
180,30,0.12703703703703706,sparse,relative_difference_per_class,,,,0.0914962962962963
200,30,0.11783333333333335,sparse,relative_difference_per_class,,,,0.08834499999999992
220,30,0.10999999999999999,sparse,relative_difference_per_class,,,,0.08333484848484853
240,30,0.11430555555555555,sparse,relative_difference_per_class,,,,0.07948055555555551
260,30,0.10910256410256414,sparse,relative_difference_per_class,,,,0.07782179487179489
280,30,0.09952380952380951,sparse,relative_difference_per_class,,,,0.07348690476190482
300,30,0.10088888888888892,sparse,relative_difference_per_class,,,,0.07244555555555553
400,30,0.08433333333333326,sparse,relative_difference_per_class,,,,0.06225833333333335
600,30,0.06022222222222218,sparse,relative_difference_per_class,,,,0.051889999999999985
800,30,0.0535416666666666,sparse,relative_difference_per_class,,,,0.044333333333333336
1000,30,0.055333333333333345,sparse,relative_difference_per_class,,,,0.04020500000000001
20,2,0.1916666666666667,uniform,class_shift_diff,,,,0.16666666666666669
40,2,0.14166666666666664,uniform,class_shift_diff,,,,0.12083333333333332
60,2,0.10833333333333334,uniform,class_shift_diff,,,,0.09722222222222222
80,2,0.10833333333333336,uniform,class_shift_diff,,,,0.08333333333333331
100,2,0.09333333333333334,uniform,class_shift_diff,,,,0.07666666666666666
120,2,0.09027777777777778,uniform,class_shift_diff,,,,0.06668055555555555
140,2,0.08452380952380951,uniform,class_shift_diff,,,,0.06190476190476189
160,2,0.07500000000000001,uniform,class_shift_diff,,,,0.05835416666666668
180,2,0.06944444444444445,uniform,class_shift_diff,,,,0.056490740740740716
200,2,0.07416666666666664,uniform,class_shift_diff,,,,0.05584166666666666
220,2,0.06060606060606061,uniform,class_shift_diff,,,,0.052280303030303024
240,2,0.05972222222222222,uniform,class_shift_diff,,,,0.04791666666666668
260,2,0.0544871794871795,uniform,class_shift_diff,,,,0.04423717948717948
280,2,0.0625,uniform,class_shift_diff,,,,0.04166666666666667
300,2,0.049444444444444416,uniform,class_shift_diff,,,,0.04444444444444445
400,2,0.05083333333333334,uniform,class_shift_diff,,,,0.037504166666666665
600,2,0.038888888888888876,uniform,class_shift_diff,,,,0.031111111111111117
800,2,0.03145833333333334,uniform,class_shift_diff,,,,0.02646250000000001
1000,2,0.031,uniform,class_shift_diff,,,,0.024168333333333333
20,3,0.2222222222222222,uniform,class_shift_diff,,,,0.19444444444444445
40,3,0.17222222222222225,uniform,class_shift_diff,,,,0.13891666666666666
60,3,0.14074074074074075,uniform,class_shift_diff,,,,0.11666666666666664
